yearOpened,nday,zipcode,longitude,latitude,case#
2013,48,02643,-71.062842,42.353067,101000865421
2013,48,02121,-71.08295,42.30287,101000865427
2013,48,02121,-71.08295,42.30287,101000865428
2013,48,02115,-71.08068,42.34391,101000865429
2013,48,02643,-71.05228,42.3541,101000865431
2013,48,02115,-71.08639,42.346522,101000865432
2013,48,02643,-71.10193,42.31884,101000865433
2013,49,02108,-71.07131,42.35745,101000869978
2013,49,02116,-71.06748,42.34949,101000869979
2013,49,02113,-71.05609,42.36393,101000869981
2013,49,02113,-71.056023,42.363908,101000869983
2013,49,02124,-71.06919,42.28711,101000869984
2013,49,02113,-71.055778,42.363986,101000869986
2013,49,02643,-71.0753,42.29759,101000869988
2013,49,02132,-71.1537,42.27938,101000869991
2013,49,02215,-71.0587,42.3594,101000869993
2013,49,02124,-71.07326,42.29379,101000869995
2013,49,02124,-71.07326,42.29379,101000869997
2013,49,02119,-71.087077,42.322478,101000870001
2013,49,02134,-71.129797,42.35245,101000870003
2013,49,02119,-71.0977,42.31439,101000870005
2013,49,02119,-71.080901,42.323127,101000870011
2013,49,02643,-71.07037,42.31594,101000870014
2013,50,02135,-71.151217,42.347708,101000870295
2013,50,02130,-71.116847,42.294521,101000870297
2013,50,02136,-71.117175,42.259883,101000870299
2013,50,02643,-71.06338,42.28578,101000870301
2013,50,02643,-71.14716,42.28519,101000870303
2013,50,02131,-71.120469,42.286779,101000870305
2013,50,02131,-71.120469,42.286779,101000870306
2013,50,02115,-71.085815,42.346408,101000870307
2013,50,02129,-71.06291,42.38011,101000870308
2013,50,02643,-71.07793,42.33079,101000870310
2013,50,02643,-71.11925,42.26219,101000870312
2013,50,02134,-71.11832,42.36002,101000870313
2013,50,02134,-71.132271,42.352827,101000870319
2013,51,02125,-71.052764,42.316419,101000873845
2013,51,02124,-71.06304,42.288037,101000873851
2013,51,02643,-71.081193,42.286393,101000873853
2013,51,02643,-71.09188,42.31423,101000873857
2013,51,02124,-71.0693,42.29467,101000873865
2013,51,02643,-71.0587,42.3594,101000873866
2013,51,02122,-71.06313,42.30298,101000873870
2013,51,02643,-71.105469,42.312467,101000873880
2013,51,02124,-71.08518,42.28675,101000873882
2013,51,02124,-71.07209,42.293658,101000873885
2013,51,02119,-71.08405,42.32832,101000873888
2013,51,02643,-71.13782,42.34682,101000873890
2013,51,02643,-71.16958,42.28121,101000873893
2013,52,02128,-71.03759,42.37884,101000874188
2013,52,02643,-71.16676,42.27693,101000874189
2013,52,02131,-71.11591,42.28171,101000874191
2013,52,02130,-71.106164,42.313168,101000874192
2013,52,02643,-71.056066,42.289279,101000874194
2013,52,02643,-71.136383,42.359395,101000874196
2013,52,02131,-71.11591,42.28171,101000874200
2013,52,02643,-71.0722,42.28477,101000874208
2013,52,02643,-71.0722,42.28477,101000874211
2013,52,02122,-71.06484,42.30481,101000874216
2013,52,02132,-71.14732,42.27597,101000874218
2013,52,02132,-71.14732,42.27597,101000874220
2013,53,02124,-71.068751,42.281532,101000878621
2013,53,02111,-71.06399,42.348048,101000878623
2013,53,02135,-71.14918,42.35528,101000878625
2013,53,02130,-71.112989,42.319566,101000878627
2013,53,02130,-71.11383,42.32181,101000878628
2013,53,02128,-71.03562,42.36919,101000878631
2013,53,02643,-71.104275,42.315592,101000878634
2013,53,02126,-71.072815,42.274644,101000878637
2013,54,02116,-71.07237,42.348549,101000878913
2013,54,02130,-71.10404,42.32139,101000878915
2013,54,02135,-71.1423,42.34105,101000878919
2013,54,02136,-71.12427,42.25598,101000878923
2013,54,02643,-71.06907,42.28505,101000878925
2013,54,02643,-71.0587,42.3594,101000878926
2013,54,02108,-71.058274,42.36042,101000878929
2013,54,02643,-71.067061,42.292034,101000878930
2013,54,02643,-71.003753,42.386286,101000878933
2013,54,02124,-71.09061,42.29125,101000878937
2013,55,02127,-71.02931,42.33334,101000883413
2013,55,02124,-71.09032,42.29157,101000883415
2013,55,02215,-71.10663,42.34826,101000883416
2013,55,02124,-71.09042,42.29146,101000883418
2013,55,02643,-71.07814,42.33062,101000883420
2013,55,02643,-71.0587,42.3594,101000883422
2013,55,02643,-71.06941,42.38112,101000883424
2013,55,02643,-71.12619,42.25758,101000883429
2013,55,02199,-71.079716,42.347446,101000883431
2013,55,02643,-71.0587,42.3594,101000883433
2013,55,02127,-71.05375,42.32978,101000883436
2013,55,02130,-71.114539,42.314626,101000883437
2013,56,02135,-71.150062,42.336329,101000883771
2013,56,02643,-71.14761,42.27121,101000883773
2013,56,02136,-71.13298,42.25386,101000883775
2013,56,02119,-71.06963,42.32283,101000883777
2013,56,02125,-71.07134,42.31198,101000883778
2013,56,02128,-71.041587,42.367103,101000883780
2013,56,02129,-71.059631,42.373017,101000883782
2013,56,02643,-71.0582,42.29069,101000883784
2013,56,02116,-71.07302,42.34671,101000883785
2013,56,02643,-71.09202,42.31457,101000883788
2013,56,02643,-71.06397,42.28563,101000883791
2013,56,02643,-71.069512,42.318285,101000883793
2013,56,02136,-71.11367,42.2661,101000883794
2013,56,02643,-71.046745,42.336764,101000883796
2013,56,02121,-71.0877,42.31641,101000883798
2013,56,02130,-71.10537,42.32246,101000883800
2013,57,02643,-71.06898,42.38121,101000888232
2013,57,02127,-71.05065,42.34068,101000888235
2013,57,02127,-71.050642,42.340446,101000888236
2013,57,02643,-71.125035,42.250617,101000888239
2013,57,02131,-71.12279,42.27397,101000888241
2013,57,02643,-71.069402,42.380771,101000888242
2013,57,02643,-71.06511,42.28895,101000888245
2013,57,02643,-71.06511,42.28895,101000888246
2013,57,02643,-71.05621,42.2896,101000888247
2013,57,02643,-71.06702,42.31601,101000888249
2013,58,02132,-71.14946,42.2784,101000888489
2013,58,02643,-71.0587,42.3594,101000888490
2013,58,02132,-71.15088,42.29215,101000888493
2013,58,02111,-71.05918,42.35268,101000888496
